GEOID,PLACE,total_population,white,black,native_american,asian,aapi,other_race,multi_race,hispanic,total_homes,total_occupied_homes,vacant_homes,renter_occupied_homes,owner_occupied_homes,civilian_employed,civilian_unemployed,civilian_labor_force,gini_index,median_home_value,median_income
1600000US0633000,Hayward city,162954,27955,14693,2562,48315,5104,43338,20987,67079,52268,50215,2053,23692,26523,78612,6198,84810,0.4406,735000,96386
1600000US3457000,Paterson city,159732,22529,39838,2427,8149,80,64205,22504,98863,52885,50326,2559,38145,12181,64199,12092,76291,0.477,311700,46451
1600000US5101000,Alexandria city,159467,82185,31903,1004,11354,94,15750,17177,29372,80479,75555,4924,45312,30243,95076,4236,99312,0.4773,630500,101162
1600000US1349008,Macon-Bibb County,157346,57778,85885,373,3251,53,3735,6271,6737,71901,62762,9139,31354,31408,65335,5858,71193,0.5103,155800,48176
1600000US0616350,Corona city,157136,63071,8702,2424,18899,616,36161,27263,73102,49584,48108,1476,17804,30304,78670,5923,84593,0.4152,620600,92606
1600000US2036000,Kansas City city,156607,64177,33715,1786,7590,370,25172,23797,54144,63446,57079,6367,24886,32193,70199,5049,75248,0.4357,140200,53884
1600000US0843000,Lakewood city,155984,112493,3002,2444,5958,229,11984,19874,35423,70596,67292,3304,29027,38265,83571,5224,88795,0.455,483300,77122
1600000US2567000,Springfield city,155929,57260,32503,1411,4565,140,37540,22510,72874,62782,58794,3988,31049,27745,56353,8315,64668,0.4726,198200,42498
1600000US0677000,Sunnyvale city,155805,46551,2228,1081,77842,491,14181,13431,25372,61272,58407,2865,32584,25823,82503,5516,88019,0.4577,1575200,156059
1600000US2836000,Jackson city,153701,25832,121215,278,776,32,1943,3625,3219,75173,64122,11051,32255,31867,62298,7586,69884,0.5071,101500,35070
1600000US4839148,Killeen city,153095,45999,57055,1453,6110,2741,15324,24413,41425,61886,56587,5299,30034,26553,58577,6604,65181,0.4193,179900,51619
1600000US1232000,Hollywood city,153067,71051,26523,1109,4109,72,16305,33898,61031,72585,61941,10644,27278,34663,76596,4846,81442,0.4876,322400,60490
1600000US4751560,Murfreesboro city,152769,97785,29799,740,5797,103,6638,11907,13918,62905,58999,3906,30497,28502,90017,3958,93975,0.4151,323600,77584
1600000US4856000,Pasadena city,151950,66033,5468,1870,3468,73,37428,37610,103037,55994,51284,4710,24015,27269,63455,8389,71844,0.4475,192300,60939
1600000US5305210,Bellevue city,151854,67930,4018,542,61684,269,5096,12315,11071,64688,60953,3735,30058,30895,74682,4602,79284,0.4652,1107200,144274
1600000US0658072,Pomona city,151713,31901,8741,3499,16255,315,62598,28404,108044,43352,42050,1302,19762,22288,65798,7399,73197,0.4243,525300,70494
1600000US0622804,Escondido city,151038,63249,3602,2708,11974,394,43817,25294,78226,49998,48316,1682,23336,24980,71386,4490,75876,0.4432,620200,80749
1600000US1738570,Joliet city,150362,77065,24440,1501,3023,40,22785,21508,50510,52737,50341,2396,14378,35963,76329,6556,82885,0.4315,227500,76495
1600000US4513330,Charleston city,150227,110459,25553,380,3274,163,2449,7949,6818,77479,67675,9804,31511,36164,80671,3572,84243,0.4785,420800,74139
1600000US4847892,Mesquite city,150108,50295,37721,2049,4299,120,29823,25801,66272,52615,50123,2492,21603,28520,74369,5524,79893,0.4468,208900,60957
